country,current_gdp,prev_gdp,year,gdp_share
India,7,6.6,2023,3.37
US,2.06,3,2023,25.32
China,2.99,3,2023,17.86
Japan,1.03,4,2023,4.21
UK,4.10,0,2023,3.05
France,2.56,3,2023,2.77
Russia,0,2,2023,2.23
Canada,3.4,2,2023,2.13
Italy,3.67,4,2023,2
Brazil,2.90,0.1122,2023,1.91
Australia,3.62,2,2023,1.67
S_Korea,2.56,4.6,2023,1.66
Mexico,3.06,2.22,2023,1.41
Spain,5.45,1.90,2023,1.39
Indonesia,5.31,1,2023,1.31
S_Arabia,8.74,2,2023,1.1
Netherlands,4.48,4,2023,0.99
Turkey,5.57,2.8,2023,0.9
Switzerland,2.06,3,2023,0.8
